crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
-0.419366929213216,0.2845482693404666,-1.2866362317172002,-0.27232906767920706,-0.14407485473245377,0.41326292045308605,-0.11989476721580798,0.14007498397956203,-0.981871187861867,,-1.457557967289599,0.4406158949990936,-1.0744989703439318,0.1595277885244979
-0.4169266699640972,-0.4872401872268264,,-0.27232906767920706,-0.739530360743427,0.19408238743701497,0.366803426432622,0.5566090495704017,-0.8670244885881488,-0.9863533804386945,-0.30279449974945827,0.4406158949990936,-0.49195252491856606,-0.10142391727311899
-0.4169289951277458,-0.4872401872268264,,-0.27232906767920706,-0.739530360743427,1.2814455512310297,-0.26554897115438925,0.5566090495704017,-0.8670244885881488,-0.9863533804386945,-0.30279449974945827,0.3960350740793765,-1.2075324134098204,1.3229374768722075
,-0.4872401872268264,-1.3055856941020016,-0.27232906767920706,-0.8344580501074947,1.015297761140087,-0.8090878297544607,,-0.7521777893144307,,0.11292034856499183,0.4157514076556643,-1.3601707849275246,1.181588636231831
-0.4120740534296419,-0.4872401872268264,-1.3055856941020016,-0.27232906767920706,-0.8344580501074947,1.2273620430842078,-0.5106743387583429,1.0766711351119913,-0.7521777893144307,,0.11292034856499183,0.4406158949990936,-1.025486649214394,1.4860322929957182
-0.41663137418073554,-0.4872401872268264,-1.3055856941020016,-0.27232906767920706,-0.8344580501074947,0.20689163936652485,-0.3508099685818513,1.0766711351119913,-0.7521777893144307,-1.105021603012754,0.11292034856499183,0.4101651131423829,-1.042290873601664,
-0.40983724599976834,0.04872401872268265,-0.4761823020287739,-0.27232906767920706,-0.26489191392308603,-0.38802695024852585,-0.07015918538312203,0.8384142194730401,-0.5224843907669944,-0.5769480125581892,-1.5037485059912055,0.42637632074955295,-0.03123670630090918,
-0.4032965606564895,0.04872401872268265,-0.4761823020287739,-0.27232906767920706,-0.26489191392308603,-0.16030691594611396,0.9778405746627671,,-0.5224843907669944,-0.5769480125581892,-1.5037485059912055,0.4406158949990936,0.9097998593862199,0.4965904085130867
,0.04872401872268265,-0.4761823020287739,-0.27232906767920706,-0.26489191392308603,-0.9302852819311427,1.1163896954823933,1.0861216286763027,-0.5224843907669944,-0.5769480125581892,-1.5037485059912055,0.3281232584277191,2.4193793501759897,-0.6559462920930553
-0.40033313958645433,0.04872401872268265,-0.4761823020287739,-0.27232906767920706,-0.26489191392308603,-0.39941295196364646,0.6154813355960532,1.3283202074601683,-0.5224843907669944,-0.5769480125581892,-1.5037485059912055,0.32899953991999836,0.622727692770355,
-0.39395637828039604,0.04872401872268265,,-0.27232906767920706,-0.26489191392308603,0.13145937800385107,0.9138948265921705,,-0.5224843907669944,,-1.5037485059912055,0.3926394832967936,1.0918456235816467,
-0.4064448322365818,0.04872401872268265,-0.4761823020287739,-0.27232906767920706,-0.26489191392308603,-0.39229670089169494,0.5089050888117256,1.1547920492491401,-0.5224843907669944,-0.5769480125581892,-1.5037485059912055,0.4406158949990936,0.08639286440998195,-0.3949945862954385
-0.4091989885782504,0.04872401872268265,-0.4761823020287739,-0.27232906767920706,-0.26489191392308603,-0.5630867266185039,-1.0506606557989366,0.7863652699932132,-0.5224843907669944,,-1.5037485059912055,0.37051337561673764,0.4280787602844755,-0.09055092953155185
,-0.4872401872268264,-0.43682572630649413,-0.27232906767920706,-0.14407485473245377,-0.47769171375510006,-0.24068118023804624,,-0.6373310900407125,-0.6006816570730011,1.175302738701922,0.4406158949990936,-0.6151835037585474,-0.2318997701719278
-0.34593361086574637,-0.4872401872268264,-0.43682572630649413,-0.27232906767920706,-0.14407485473245377,-0.26847393223975896,0.5657457537633668,0.31668998682214927,-0.6373310900407125,-0.6006816570730011,1.175302738701922,0.2557205001281292,-0.33511309730404465,-0.47110550048641003
,-0.4872401872268264,-0.43682572630649413,-0.27232906767920706,-0.14407485473245377,-0.6413654884099588,-0.4289658828903584,0.3341187865111057,-0.6373310900407125,,1.175302738701922,0.4265953911226226,-0.5857761110808245,-0.2862647088797647
